"Emily",25,14,19,18,19,20,13,11,11,8,5,6,2,1,1,1
"Emma",5,6,4,3,4,1,1,1,2,2,4,3,3,3,3,2
"Sophie",17,18,17,16,9,6,7,7,5,5,6,1,1,2,2,3
"Ella",94,76,65,48,28,14,11,10,8,3,12,18,11,11,7,4
"Amelia",236,270,265,299,210,163,99,91,74,48,45,39,34,32,12,5
"Aoife",4,2,1,2,2,3,5,5,4,7,8,9,10,13,11,6
"Ava",88,60,44,41,26,24,18,18,6,6,1,2,6,8,8,7
"Lucy",46,43,38,35,36,29,22,24,13,14,11,8,5,7,9,8
"Grace",32,30,32,27,29,23,20,14,7,9,7,5,7,4,4,9
"Sarah",3,3,2,1,1,2,3,2,1,1,3,4,4,6,10,10
"Mia",236,162,104,72,47,44,39,33,25,24,23,14,20,12,6,11
"Anna",33,28,28,26,21,22,26,21,21,20,19,16,12,18,22,12
"Chloe",1,1,5,4,5,8,8,8,14,15,9,10,8,9,15,13
"Hannah",18,21,15,15,12,13,16,16,16,13,15,22,22,17,13,14
"Kate",22,19,18,22,18,17,14,22,23,10,10,13,19,15,18,15
"Ruby",192,245,207,168,170,120,121,58,41,34,21,17,23,20,20,16
"Lily",214,202,142,91,85,75,59,52,42,28,29,19,13,5,5,17
"Katie",13,13,12,9,7,5,2,3,3,4,2,7,9,10,14,18
"Caoimhe",24,22,22,19,20,12,12,17,15,17,17,21,24,14,16,19
"Sophia",138,108,111,126,108,100,71,85,69,51,55,50,33,29,21,20
"Lauren",10,9,8,6,10,15,17,19,21,22,20,12,21,22,23,21
"Saoirse",37,31,30,28,31,36,35,36,29,26,24,25,18,19,17,22
"Ellie",175,166,127,89,46,38,38,32,30,31,35,36,28,24,28,23
"Holly",75,46,53,49,35,28,25,29,33,32,26,23,17,23,19,24
"Leah",27,27,14,12,15,10,9,9,9,16,13,15,15,15,24,25
"Amy",12,11,8,8,6,9,4,4,11,11,16,11,14,25,25,26
"Olivia",83,41,51,61,71,72,69,58,55,42,41,40,27,28,30,27
"Jessica",19,23,21,20,17,19,23,20,20,21,22,27,29,31,29,28
"Ciara",2,4,3,5,3,4,6,6,10,12,14,20,15,26,32,29
"Zoe",60,66,42,42,43,41,45,43,47,54,48,42,46,37,34,30
"Isabelle",163,177,127,104,77,100,76,62,50,43,41,32,26,27,26,31
"Niamh",6,5,6,6,8,11,10,13,18,18,18,24,25,30,37,32
"Molly",87,63,43,31,33,37,31,25,25,23,25,26,31,33,27,33
"Julia",142,153,171,148,154,139,152,97,71,49,34,31,35,35,34,34
"Robyn",69,62,60,51,63,49,50,50,62,56,52,52,43,46,41,35
"Erin",65,79,49,47,48,42,51,40,34,40,39,37,36,47,39,36
